Ordner                                                                                                                                                                                              |         MB |        Bytes
flutter\exercises\bibliothek_dashboard\android\.gradle\buildOutputCleanup                                                                                                                           |       0.02 |       23,355
flutter\exercises\bibliothek_dashboard\.dart_tool\chrome-device\Default\Safe Browsing Network                                                                                                       |       0.02 |       20,480
flutter\exercises\bibliothek_dashboard\.dart_tool\chrome-device\Default\Service Worker                                                                                                              |       0.02 |       20,380
flutter\exercises\bibliothek_dashboard\build\app\intermediates\merged_java_res                                                                                                                      |       0.02 |       20,144
flutter\exercises\bibliothek_dashboard\build\app\intermediates\merged_java_res\debug                                                                                                                |       0.02 |       20,144
flutter\exercises\bibliothek_dashboard\build\app\intermediates\merged_java_res\debug\mergeDebugJavaResource                                                                                         |       0.02 |       20,144
flutter\exercises\bibliothek_dashboard\.dart_tool\chrome-device\Default\Service Worker\ScriptCache                                                                                                  |       0.02 |       18,212
flutter\exercises\bibliothek_dashboard\build\windows\x64\x64\Debug\ZERO_CHECK                                                                                                                       |       0.02 |       17,956
flutter\exercises\bibliothek_dashboard\build\windows\x64\x64\Debug\ZERO_CHECK\ZERO_CHECK.tlog                                                                                                       |       0.02 |       17,577
flutter\exercises\bibliothek_dashboard\build\windows\x64\x64\Debug\ALL_BUILD                                                                                                                        |       0.02 |       17,553
flutter\exercises\bibliothek_dashboard\build\app\intermediates\stable_resource_ids_file                                                                                                             |       0.02 |       17,182
flutter\exercises\bibliothek_dashboard\build\app\intermediates\stable_resource_ids_file\debug                                                                                                       |       0.02 |       17,182
flutter\exercises\bibliothek_dashboard\build\app\intermediates\stable_resource_ids_file\debug\processDebugResources                                                                                 |       0.02 |       17,182
flutter\exercises\bibliothek_dashboard\build\app\intermediates\project_dex_archive                                                                                                                  |       0.02 |       17,015
flutter\exercises\bibliothek_dashboard\build\app\intermediates\project_dex_archive\debug                                                                                                            |       0.02 |       17,015
flutter\exercises\bibliothek_dashboard\build\app\intermediates\project_dex_archive\debug\dexBuilderDebug                                                                                            |       0.02 |       17,015
flutter\exercises\bibliothek_dashboard\build\app\intermediates\project_dex_archive\debug\dexBuilderDebug\out                                                                                        |       0.02 |       17,015
flutter\exercises\bibliothek_dashboard\build\windows\x64\x64\Debug\ALL_BUILD\ALL_BUILD.tlog                                                                                                         |       0.02 |       16,520
flutter\exercises\bibliothek_dashboard\linux                                                                                                                                                        |       0.02 |       16,317
flutter\exercises\bibliothek_dashboard\build\flutter_assets\shaders                                                                                                                                 |       0.01 |       15,627
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources\merged.dir\values                                                                              |       0.01 |       15,136
flutter\exercises\bibliothek_dashboard\build\app\intermediates\runtime_symbol_list                                                                                                                  |       0.01 |       14,549
flutter\exercises\bibliothek_dashboard\build\app\intermediates\runtime_symbol_list\debug                                                                                                            |       0.01 |       14,549
flutter\exercises\bibliothek_dashboard\build\app\intermediates\runtime_symbol_list\debug\processDebugResources                                                                                      |       0.01 |       14,549
flutter\exercises\bibliothek_dashboard\build\app\intermediates\manifest_merge_blame_file                                                                                                            |       0.01 |       14,540
flutter\exercises\bibliothek_dashboard\build\app\intermediates\manifest_merge_blame_file\debug                                                                                                      |       0.01 |       14,540
flutter\exercises\bibliothek_dashboard\build\app\intermediates\manifest_merge_blame_file\debug\processDebugMainManifest                                                                             |       0.01 |       14,540
flutter\exercises\bibliothek_dashboard\build\app\intermediates\cxx\debug\2k2b5h51\logs\arm64-v8a                                                                                                    |       0.01 |       14,095
flutter\exercises\bibliothek_dashboard\build\app\intermediates\cxx\debug\2k2b5h51\logs\armeabi-v7a                                                                                                  |       0.01 |       13,968
